,DESCRICAO_UE,SIGLA_UE,SIGLA_UF,ano,mulher_ver,total_ver,mulher_ele,total_ele,prop_cm,prop_me,ln_prop_cm,ln_prop_me
36132,NOVO TRIUNFO,37621,BA,2004,12,33,1,8,36.36364,12.5,3.59356937430961,2.52572864430826
36172,OLINDINA,37630,BA,2004,9,46,1,8,19.56522,12.5,2.97375350016854,2.52572864430826
36227,OLIVEIRA DOS BREJINHOS,37656,BA,2004,7,32,1,7,21.875,14.28571,3.08534443224368,2.65925973693273
36266,OURICANGAS,37672,BA,2004,5,27,0,7,18.51852,0,2.91877131241786,0
36306,OUROLANDIA,37680,BA,2004,5,28,3,8,17.85714,37.5,2.88240342824698,3.62434093297637
36343,PALMAS DE MONTE ALTO,37699,BA,2004,9,51,1,7,17.64706,14.28571,2.87056919726665,2.65925973693273
36401,PALMEIRAS,37710,BA,2004,10,34,1,8,29.41176,12.5,3.38139459436596,2.52572864430826
36444,PARAMIRIM,37737,BA,2004,6,35,0,7,17.14286,0,2.84158176039339,0
36487,PARATINGA,37753,BA,2004,15,83,1,6,18.07229,16.66667,2.89437982596037,2.81341091676002
36581,PARIPIRANGA,37770,BA,2004,10,47,1,7,21.2766,14.28571,3.05760787727206,2.65925973693273
36648,PAU BRASIL,37796,BA,2004,13,52,2,7,25,28.57143,3.2188758248682,3.35240726749272
36723,PAULO AFONSO,37818,BA,2004,13,79,1,7,16.4557,14.28571,2.80067192175181,2.65925973693273
36826,PE DE SERRA,39810,BA,2004,8,31,1,8,25.80645,12.5,3.25062446068278,2.52572864430826
36864,PEDRAO,37834,BA,2004,8,56,0,6,14.28571,0,2.65925973693273,0
36948,PEDRO ALEXANDRE,37850,BA,2004,8,38,0,6,21.05263,0,3.04702549294154,0
37004,PIATA,37877,BA,2004,11,41,0,7,26.82927,0,3.28949345571852,0
37050,PILAO ARCADO,37893,BA,2004,1,30,0,8,3.33333,0,1.20397180432544,0
37091,PINDAI,37915,BA,2004,7,27,3,8,25.92593,37.5,3.25524362618192,3.62434093297637
37123,PINDOBACU,37931,BA,2004,11,52,2,8,21.15385,25,3.0518219220232,3.2188758248682
37184,PINTADAS,39837,BA,2004,3,30,0,8,10,0,2.30258509299405,0
37218,PIRAI DO NORTE,37940,BA,2004,6,53,2,8,11.32075,25,2.42663732499727,3.2188758248682
37279,PIRIPA,37958,BA,2004,15,49,2,7,30.61224,28.57143,3.42139992897966,3.35240726749272
37339,PIRITIBA,37974,BA,2004,12,51,0,7,23.52941,0,3.15825112805176,0
37396,PLANALTINO,37990,BA,2004,9,30,2,7,30,28.57143,3.40119738166216,3.35240726749272
37441,PLANALTO,38016,BA,2004,11,54,1,7,20.37037,14.28571,3.01408139404037,2.65925973693273
37504,POCOES,38032,BA,2004,14,62,0,7,22.58065,0,3.11709334484395,0
37594,POJUCA,38059,BA,2004,23,104,2,6,22.11538,33.33333,3.09627329408019,3.50655779731998
37710,PONTO NOVO,38067,BA,2004,12,51,0,6,23.52941,0,3.15825112805176,0
37771,PORTO SEGURO,38075,BA,2004,53,183,1,7,28.96175,14.28571,3.3659759938686,2.65925973693273
37980,POTIRAGUA,38091,BA,2004,11,57,2,7,19.29825,28.57143,2.96001441822461,3.35240726749272
38051,PRADO,38113,BA,2004,12,87,0,6,13.7931,0,2.62416846712148,0
38153,PRESIDENTE DUTRA,38130,BA,2004,5,28,1,8,17.85714,12.5,2.88240342824698,2.52572864430826
38190,PRESIDENTE JANIO QUADROS,38156,BA,2004,7,37,1,7,18.91892,14.28571,2.94016247954204,2.65925973693273
38236,PRESIDENTE TANCREDO NEVES,38164,BA,2004,7,48,0,6,14.58333,0,2.67987909556406,0
38299,QUEIMADAS,38172,BA,2004,12,67,1,5,17.91045,20,2.88538434138512,2.99573227355399
38397,QUIJINGUE,38199,BA,2004,9,34,0,8,26.47059,0,3.27603430537481,0
38438,QUIXABEIRA,39845,BA,2004,5,27,0,7,18.51852,0,2.91877131241786,0
38477,RAFAEL JAMBEIRO,39853,BA,2004,4,35,1,7,11.42857,14.28571,2.43611636061856,2.65925973693273
38521,REMANSO,38210,BA,2004,12,52,1,8,23.07692,12.5,3.13883298386132,2.52572864430826
38587,RETIROLANDIA,38237,BA,2004,4,28,1,8,14.28571,12.5,2.65925973693273,2.52572864430826
38622,RIACHAO DAS NEVES,38253,BA,2004,13,59,1,6,22.0339,16.66667,3.09258217646698,2.81341091676002
38691,RIACHAO DO JACUIPE,38270,BA,2004,10,57,1,7,17.54386,14.28571,2.86470403114759,2.65925973693273
38769,RIACHO DE SANTANA,38296,BA,2004,5,38,0,8,13.15789,0,2.57702157869574,0
38813,RIBEIRA DO AMPARO,38318,BA,2004,6,27,2,8,22.22222,25,3.10109268921181,3.2188758248682
38845,RIBEIRA DO POMBAL,38334,BA,2004,9,58,0,7,15.51724,0,2.741951663889,0
38918,RIBEIRAO DO LARGO,38342,BA,2004,7,36,1,8,19.44444,12.5,2.96756116801584,2.52572864430826
38962,RIO DE CONTAS,38350,BA,2004,2,34,0,8,5.88235,0,1.77195634193175,0
39004,RIO DO ANTONIO,38377,BA,2004,3,33,0,7,9.09091,0,2.20727501318972,0
39045,RIO DO PIRES,38393,BA,2004,4,28,1,7,14.28571,14.28571,2.65925973693273,2.65925973693273
39078,RIO REAL,38415,BA,2004,24,102,0,4,23.52941,0,3.15825112805176,0
39223,RODELAS,38431,BA,2004,4,22,1,8,18.18182,12.5,2.90042219374966,2.52572864430826
39249,RUY BARBOSA,38458,BA,2004,11,47,2,8,23.40426,25,3.15291805707638,3.2188758248682
39307,SALINAS DA MARGARIDA,38474,BA,2004,23,74,1,6,31.08108,16.66667,3.43659927393046,2.81341091676002
39413,SALVADOR,38490,BA,2004,138,750,6,35,18.4,17.14286,2.91235066461494,2.84158176039339
40231,SANTA BARBARA,38512,BA,2004,12,42,3,8,28.57143,37.5,3.35240726749272,3.62434093297637
